parameter,relative_change,PE_mean,PE_std,VOL_mean,VOL_std
E,0.01,0.015303343134713635,0.054559433014160275,1.021988275042958,2.9700735579712187
E,0.05,-0.03592161643585864,0.03580635757703928,-0.05627754382133505,0.33741996788187645
E,0.1,-0.07963777355186127,0.036377850846202375,-0.13970485367443125,0.18271921022643806
E,0.2,-0.14176392969065477,0.07303815125488342,-0.3155211945270783,0.40336920896380823
nu,0.01,0.013111397204394292,0.04986563923227492,-0.28353115201304446,0.5540887313156924
nu,0.05,0.11871577848744365,0.6267711737859302,-0.25472449884135046,0.6401832634917356
nu,0.1,-0.0011471017632540888,0.07218815040002759,-0.2879195458055409,0.16993008466858853
nu,0.2,0.049943769966931804,0.15768182858426202,-0.5381890777532831,0.18031323857156625
nu,0.25,0.05529270032094147,0.17818312467871422,-0.5484646269212342,0.19996529884406822
nu,0.3,0.21529728199558784,0.32859089623486865,-0.8323952103626067,0.18112745701165572
rho,0.01,-0.0015363926045339447,0.03804325146957454,-0.0193332149053109,0.07143316159667659
rho,0.05,-0.0006471219440979866,0.026577566508606102,0.1342872475835216,1.6590457338635072
rho,0.1,0.008671590031983303,0.03366022207417588,0.02914893109440586,0.22977177796023915
rho,0.2,-0.002729465535162169,0.020843618006083968,0.8998720190536853,2.971970014572777
rho,0.25,0.0008017437643783554,0.022992265757040914,0.49997293861031017,2.2121509540597457
rho,0.3,-0.003977153662133068,0.03631157825549312,-0.011964089069548088,0.07361021837783799
